EFF_DATE,ARRIVAL_NAME,STAR_COMPUTER_CODE,ARTCC,DEST_GROUP,BODY_NAME,TRANSITION_COMPUTER_CODE,TRANSITION_NAME,ROUTE_POINTS,ROUTE_FROM_DEST_GROUP
03/19/2026,BEREE,BEREE.BEREE3,ZFW,DFW,BEREE-HEDMN,CRIED.BEREE3,CRIED TRANSITION,CRIED POWND WUUKY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN,CRIED POWND WUUKY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN DFW
01/22/2026,BEREE,BEREE.BEREE3_old_2602_changed,ZFW,DFW,BEREE-HEDMN,OUTLN.BEREE3,OUTLN TRANSITION,OUTLN VEEYO BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN,OUTLN VEEYO BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN DFW
03/19/2026,BEREE,BEREE.BEREE3,ZFW,DFW,BEREE-HEDMN,OUTLN.BEREE3,OUTLN TRANSITION,OUTLN VEEYO BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN,OUTLN VEEYO BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN DFW
01/22/2026,BEREE,BEREE.BEREE3_old_2602_changed,ZFW,DFW,BEREE-HEDMN,PNUTS.BEREE3,PNUTS TRANSITION,PNUTS CLEWS POPSY MUZZY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN,PNUTS CLEWS POPSY MUZZY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN DFW
03/19/2026,BEREE,BEREE.BEREE3,ZFW,DFW,BEREE-HEDMN,PNUTS.BEREE3,PNUTS TRANSITION,PNUTS CLEWS POPSY MUZZY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN,PNUTS CLEWS POPSY MUZZY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN DFW
01/22/2026,BEREE,BEREE.BEREE3_old_2602_changed,ZFW,DFW,BEREE-HEDMN,POPSY.BEREE3,POPSY TRANSITION,POPSY MUZZY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN,POPSY MUZZY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN DFW
03/19/2026,BEREE,BEREE.BEREE3,ZFW,DFW,BEREE-HEDMN,POPSY.BEREE3,POPSY TRANSITION,POPSY MUZZY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN,POPSY MUZZY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN DFW
01/22/2026,BEREE,BEREE.BEREE3_old_2602_changed,ZFW,DFW,BEREE-HEDMN,POWND.BEREE3,POWND TRANSITION,POWND WUUKY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN,POWND WUUKY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN DFW
03/19/2026,BEREE,BEREE.BEREE3,ZFW,DFW,BEREE-HEDMN,POWND.BEREE3,POWND TRANSITION,POWND WUUKY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN,POWND WUUKY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN DFW
01/22/2026,BEREE,BEREE.BEREE3_old_2602_changed,ZFW,DFW,BEREE-HEDMN,STUFT.BEREE3,STUFT TRANSITION,STUFT POWND WUUKY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN,STUFT POWND WUUKY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN DFW
03/19/2026,BEREE,BEREE.BEREE3,ZFW,DFW,BEREE-HEDMN,STUFT.BEREE3,STUFT TRANSITION,STUFT POWND WUUKY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN,STUFT POWND WUUKY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN DFW
01/22/2026,BEREE,BEREE.BEREE3_old_2602_changed,ZFW,DFW,BEREE-HEDMN,YUYUN.BEREE3,YUYUN TRANSITION,YUYUN WAITT PLMER OUTLN VEEYO BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN,YUYUN WAITT PLMER OUTLN VEEYO BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN DFW
03/19/2026,BEREE,BEREE.BEREE3,ZFW,DFW,BEREE-HEDMN,YUYUN.BEREE3,YUYUN TRANSITION,YUYUN WAITT PLMER OUTLN VEEYO BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN,YUYUN WAITT PLMER OUTLN VEEYO BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN DFW
01/22/2026,WHINY,BEREE.WHINY4_old_2602_changed,ZFW,DFW,BEREE-HLLZZ,CRIED.WHINY4,CRIED TRANSITION,CRIED BRAZZ POWND BEREE WHINY HOWDY BERMS HLLZZ,CRIED BRAZZ POWND BEREE WHINY HOWDY BERMS HLLZZ DFW
03/19/2026,WHINY,BEREE.WHINY4,ZFW,DFW,BEREE-HLLZZ,CRIED.WHINY4,CRIED TRANSITION,CRIED BRAZZ POWND BEREE WHINY HOWDY BERMS HLLZZ,CRIED BRAZZ POWND BEREE WHINY HOWDY BERMS HLLZZ DFW
01/22/2026,WHINY,BEREE.WHINY4_old_2602_changed,ZFW,DFW,BEREE-HLLZZ,OUTLN.WHINY4,OUTLN TRANSITION,OUTLN BEREE WHINY HOWDY BERMS HLLZZ,OUTLN BEREE WHINY HOWDY BERMS HLLZZ DFW
