BOK,20.3059722,100.1543611,-1.00
BOO,67.2662472,14.3617750,6.00
BOR,-14.8521944,-66.7362777,-7.00
BOR,60.4215000,15.5191944,6.00
BOS,42.3574500,-70.9895472,-16.00
BOV,49.4363611,2.1531944,1.00
BOY,43.4631527,-108.2997111,16.00
BPI,42.5794472,-110.1092138,10.00
BPK,51.7497361,-0.1067361,1.00
BPN,27.0538888,45.4452777,4.00
BQE,-33.5638888,-70.6908333,4.00
BQN,18.4984027,-67.1084222,-10.00
BQS,39.6305555,-93.8752777,3.00
BQU,40.7596777,-115.7613750,17.00
BQZ,40.4637638,-106.8723027,13.00
BRC,24.0127222,35.4427222,4.00
BRD,37.4950555,57.3232777,5.00
BRI,39.6317500,27.9287500,5.00
BRK,38.9445111,-104.6334666,8.00
BRL,45.6730555,9.6816944,3.00
BRL,40.7234555,-90.9258888,5.00
BRM,10.0425277,-69.3519722,-11.00
BRN,32.8976388,59.2809722,3.00
BRN,31.5755555,26.0055555,4.00
BRO,25.9240722,-97.3752694,9.00
BRO,8.1282638,34.5613972,2.00
BRP,50.2856944,30.9009722,7.00
BRR,-12.0800000,-45.0072222,-22.00
BRT,56.3720833,101.6858055,-2.00
BRT,52.1093611,23.8876944,7.00
BRU,4.8747222,114.8855555,1.00
BRV,45.5675000,25.5647222,6.00
BRV,38.3362583,-77.3528666,-9.00
BRW,71.2734250,-156.7881166,10.00
BRY,40.2625277,29.5940277,4.00
BRZ,2.1533888,117.4308055,-1.00
BSA,31.2861388,34.7218055,5.00
BSA,35.3321388,4.2083888,1.00
BSE,23.9233333,106.6016666,-2.00
BSH,19.9776666,42.6245555,2.00
BSM,45.4392777,10.3195277,3.00
BSO,51.6213333,-1.0981666,1.00
BSR,36.1812944,-121.6421138,16.00
BSR,30.5256388,47.6866944,3.00
BST,48.2845277,-4.4521111,-1.00
BSV,40.7407055,-81.4321166,-4.00
BT,48.9746666,2.4551666,1.00
BT,4.2293527,15.7838416,2.00
BTA,42.5735833,9.4748333,3.00
BTA,1.9024722,9.8089250,-2.00
BTE,-9.1475472,-78.5218777,1.00
BTG,67.6458333,134.6963888,-18.00
BTG,45.7478111,-122.5915361,21.00
BTN,35.7715277,6.3437944,2.00
BTN,6.5233333,101.7450000,-1.00
BTO,15.7366916,-86.8641694,-2.00
BTO,38.1050000,116.5766666,-6.00
