ARPT_ID,ICAO_ID,ARPT_NAME,LAT_DECIMAL,LONG_DECIMAL,ELEV,RESP_ARTCC_ID,COMPUTER_ID,ARTCC_NAME,TWR_TYPE_CODE,DCC REGION,ASPM82,OEP35,Core30,Tower,Approach,Secondary Approach,Departure,Secondary Departure,Approach/Departure,Approach ID,Secondary Approach ID,Departure ID,Secondary Departure ID,Approach/Departure ID,Consolidated Approach,Consolidated Approach ID,OPSNET45
HBR,KHBR,HOBART RGNL,34.98991666,-99.05305861,1563.2,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,ALTUS,FORT WORTH ARTCC,ALTUS,FORT WORTH ARTCC,,LTS,ZFW,LTS,ZFW,,ALTUS / FORT WORTH ARTCC,LTS / ZFW,FALSE
F99,,HOLDENVILLE MUNI,35.08586111,-96.41666666,860.9,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,FORT WORTH ARTCC,,FORT WORTH ARTCC,,,ZFW,,ZFW,,,FORT WORTH ARTCC,ZFW,FALSE
49OK,,HOLDENVILLE GENERAL HOSPITAL,35.08878333,-96.37932222,864,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
O35,,HOLLIS MUNI,34.70530527,-99.90856472,1659.2,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,ALTUS,FORT WORTH ARTCC,ALTUS,FORT WORTH ARTCC,,LTS,ZFW,LTS,ZFW,,ALTUS / FORT WORTH ARTCC,LTS / ZFW,FALSE
OL50,,HARMON MEMORIAL HOSPITAL,34.691746,-99.914584,1633,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
H92,,HOMINY MUNI,36.44275,-96.38722222,825,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
O45,,HOOKER MUNI,36.85708305,-101.2270917,3000.2,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
HHW,KHHW,STAN STAMPER MUNI,34.03363888,-95.54205555,572.2,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,FORT WORTH ARTCC,,FORT WORTH ARTCC,,,ZFW,,ZFW,,,FORT WORTH ARTCC,ZFW,FALSE
OK77,,MOUND VALLEY FARM,35.41587777,-98.54248611,1628,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
05OK,,MUNCY,35.47136388,-98.54170833,1680,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
16OK,,ENTZ ARTS,35.44991111,-98.58621388,1688,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
32OK,,SOUTH FARM,35.49913888,-98.61591666,1657,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
1OK2,,ENTZ HOME,35.50288055,-98.53751666,1613,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
1OK6,,ENTZ OLIVER,35.52207222,-98.52318333,1570,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
3OK2,,TK,35.55196666,-98.46790277,1427,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
08OL,,BROKEN B,35.4080875,-98.60547777,1518,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5OK0,,KITS,35.54135,-98.59455,1492,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
60OK,,LAWLES,35.50241388,-98.50924166,1606,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
1OK4,,MC CURTAIN MEML HOSPITAL,33.88369166,-94.81070277,480,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
4O4,,MC CURTAIN COUNTY RGNL,33.90936111,-94.85936111,471.6,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,FORT WORTH ARTCC,,FORT WORTH ARTCC,,,ZFW,,ZFW,,,FORT WORTH ARTCC,ZFW,FALSE
O18,,BUZZARDS ROOST,36.14398694,-95.41774861,661,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0K6,,DOBIE'S,36.17934722,-95.580275,610,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
55OK,,GILSTRAP FLD,36.22398666,-95.57831083,575,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
OK87,,SAM HIDER COMMUNITY HEALTH CENTER,36.43503611,-94.77866388,1057,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
OK00,,JACKTOWN,35.51625,-97.02211111,954,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
72OK,,JAY,36.42238333,-94.80415555,1032,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
62OK,,LEWIS NORTH,36.33924722,-94.9204,960,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0OK9,,CRYSTAL,36.21339777,-96.63697166,1016,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
9OK9,,R AND R,35.56163333,-97.25583333,1101,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
OL14,,HARBOR'S IN,36.55300277,-94.97045277,773,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
1K8,,SOUTH GRAND LAKE RGNL,36.54636111,-95.01352777,782.7,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,KANSAS CITY ARTCC,,KANSAS CITY ARTCC,,,ZKC,,ZKC,,,KANSAS CITY ARTCC,ZKC,FALSE
F92,,KINGFISHER,35.87667222,-97.9529375,1072,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
30OK,,MERCY HOSPITAL KINGFISHER,35.80974166,-97.94548333,1112,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
1OK1,,DAVE'S PLACE,35.82473611,-97.80505,1160,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
12OK,,FLYING M,34.002175,-96.77014722,807,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
F31,,LAKE TEXOMA STATE PARK,33.99105555,-96.64272222,693,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
02OK,,BOBBITT,36.61888888,-97.535,1033,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
OK30,,GRANDCRAFT LANDING STRIP,36.49175055,-95.05024055,827,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
LAW,KLAW,LAWTON-FORT SILL RGNL,34.56771444,-98.41663666,1110.3,ZFW,ZCF,FORT WORTH,ATCT,South Central,FALSE,FALSE,FALSE,LAWTON,FORT SILL,,FORT SILL,,,FSI,,FSI,,,FORT SILL,FSI,FALSE
OK08,,HILL TOP,34.53341055,-98.35032777,1100,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
OK07,,DJS,34.51816666,-98.32563888,1115,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
