table_base,variants,code_ref_count,doc_wiki_ref_count,sample_code_refs,sample_doc_wiki_refs
trigger,tmr.trigger,1,2,review.php,docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md
v_archive_stats,dbo.v_archive_stats,1,0,database/migrations/archive/ADL_Archive_FULL_DEPLOYMENT.sql,
v_daily_flight_summary,dbo.v_daily_flight_summary,1,0,scripts/adl_archive/synapse/03_create_views.sql,
v_trajectory_archive,dbo.v_trajectory_archive,1,0,scripts/adl_archive/synapse/03_create_views.sql,
vw_cdm_pending_messages,dbo.vw_cdm_pending_messages,1,0,load/services/CDMService.php,
vw_current_atis_by_type,dbo.vw_current_atis_by_type,1,0,adl/migrations/095_atis_type_priority.sql,
vw_flight_sector_entries,dbo.vw_flight_sector_entries,1,0,adl/migrations/navdata/007_waypoint_eta_integration.sql,
vw_flight_stats_job_status,dbo.vw_flight_stats_job_status,1,0,api/stats/StatsHelper.php,
vw_flight_stats_recent_runs,dbo.vw_flight_stats_recent_runs,1,0,api/stats/status.php,
vw_flight_stats_retention_active,dbo.vw_flight_stats_retention_active,1,0,api/stats/status.php,
vw_GDT_DemandByQuarter,dbo.vw_GDT_DemandByQuarter,1,0,api/tmi/gs/demand.php,
vw_NTML_Active,dbo.vw_NTML_Active,1,0,adl/migrations/tmi/test_gs_workflow.sql,
vw_NTML_Today,dbo.vw_NTML_Today,1,0,adl/migrations/tmi/test_gs_workflow.sql,
vw_reroute_drafts_active,dbo.vw_reroute_drafts_active,1,0,api/mgt/tmi/reroute-drafts.php,
vw_swim_facility_staffing,dbo.vw_swim_facility_staffing,1,0,api/swim/v1/controllers.php,
vw_tmi_current_delays,dbo.vw_tmi_current_delays,1,0,api/nod/tmi_active.php,
vw_WindTierStats,dbo.vw_WindTierStats,1,0,adl/migrations/wind/003_wind_tiered_resolution.sql,
wind_grid_regions,dbo.wind_grid_regions,1,0,adl/migrations/wind/001_wind_grid_schema.sql,
wind_grid_tier_lookup,dbo.wind_grid_tier_lookup,1,0,adl/migrations/wind/003_wind_tiered_resolution.sql,
wind_major_airports,dbo.wind_major_airports,1,0,adl/migrations/wind/003_wind_tiered_resolution.sql,
wind_regions,dbo.wind_regions,1,0,adl/migrations/wind/003_wind_tiered_resolution.sql,
wind_tier_config,dbo.wind_tier_config,1,0,adl/migrations/wind/003_wind_tiered_resolution.sql,
wx_wind_import_log,dbo.wx_wind_import_log,1,0,adl/php/import_wind_data.php,
xplane_airways_staging,dbo.xplane_airways_staging,1,0,adl/migrations/navdata/004_xplane_navdata_import.sql,
xplane_fixes_staging,dbo.xplane_fixes_staging,1,0,adl/migrations/navdata/004_xplane_navdata_import.sql,
xplane_navaids_staging,dbo.xplane_navaids_staging,1,0,adl/migrations/navdata/004_xplane_navdata_import.sql,
xplane_segments_staging,dbo.xplane_segments_staging,1,0,adl/migrations/navdata/004_xplane_navdata_import.sql,
dim_time,dim_time,0,1,,docs/VATSIM_STATS_DATABASE.md
ntml_slots,dbo.ntml_slots,0,1,,docs/GDT_Unified_Design_Document_v1.md
r_ops_data,r_ops_data,0,4,,docs/DEPLOYMENT_GUIDE.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md; wiki/Navigation-Helper.md
stats_aircraft_daily,stats_aircraft_daily,0,1,,docs/VATSIM_STATS_DATABASE.md
stats_airport_daily,stats_airport_daily,0,1,,docs/VATSIM_STATS_DATABASE.md
stats_carrier_daily,stats_carrier_daily,0,1,,docs/VATSIM_STATS_DATABASE.md
stats_facility_daily,stats_facility_daily,0,1,,docs/VATSIM_STATS_DATABASE.md
stats_network_weekly,stats_network_weekly,0,1,,docs/VATSIM_STATS_DATABASE.md
swim_ground_stops,dbo.swim_ground_stops,0,1,,docs/swim/VATSWIM_Release_Documentation.md
swim_webhook_endpoints,dbo.swim_webhook_endpoints,0,1,,docs/swim/VATSWIM_API_Documentation.md
