EFF_DATE,ARRIVAL_NAME,STAR_COMPUTER_CODE,ARTCC,DEST_GROUP,BODY_NAME,TRANSITION_COMPUTER_CODE,TRANSITION_NAME,ROUTE_POINTS,ROUTE_FROM_DEST_GROUP
11/27/2025,SKILS,SHILO.SKILS5,ZDC,KDCA/01|04|33,SHILO-CAVDI,LRP.SKILS5,LANCASTER TRANSITION,LRP ROAST VINNY SHILO SKILS BAL EYESS BRUNC FELTY HITEK CAVDI,LRP ROAST VINNY SHILO SKILS BAL EYESS BRUNC FELTY HITEK CAVDI KDCA/01|04|33
11/27/2025,SKILS,SHILO.SKILS5,ZDC,KDCA/15|19|22,SHILO-NAYES,LRP.SKILS5,LANCASTER TRANSITION,LRP ROAST VINNY SHILO SKILS BAL EYESS EDDWD MEGGS NAYES,LRP ROAST VINNY SHILO SKILS BAL EYESS EDDWD MEGGS NAYES KDCA/15|19|22
11/27/2025,SKILS,SHILO.SKILS5,ZDC,KDCA/01|04|33,SHILO-CAVDI,PSB.SKILS5,PHILIPSBURG TRANSITION,PSB SHILO SKILS BAL EYESS BRUNC FELTY HITEK CAVDI,PSB SHILO SKILS BAL EYESS BRUNC FELTY HITEK CAVDI KDCA/01|04|33
11/27/2025,SKILS,SHILO.SKILS5,ZDC,KDCA/15|19|22,SHILO-NAYES,PSB.SKILS5,PHILIPSBURG TRANSITION,PSB SHILO SKILS BAL EYESS EDDWD MEGGS NAYES,PSB SHILO SKILS BAL EYESS EDDWD MEGGS NAYES KDCA/15|19|22
11/27/2025,SHREK,SHREK.SHREK2,ZJX,KISM KMCO KORL KSFB,SHREK-STNKY,BIGDE.SHREK2,BIGDE TRANSITION,BIGDE EATTR WANDD SHREK STNKY,BIGDE EATTR WANDD SHREK STNKY KISM KMCO KORL KSFB
11/27/2025,SHREK,SHREK.SHREK2,ZJX,KISM KMCO KORL KSFB,SHREK-STNKY,BITTE.SHREK2,BITTE TRANSITION,BITTE WAKOS WANDD SHREK STNKY,BITTE WAKOS WANDD SHREK STNKY KISM KMCO KORL KSFB
11/27/2025,SHREK,SHREK.SHREK2,ZJX,KISM KMCO KORL KSFB,SHREK-STNKY,MMOSS.SHREK2,MMOSS TRANSITION,MMOSS NOLLE COAXE GRTNG SHREK STNKY,MMOSS NOLLE COAXE GRTNG SHREK STNKY KISM KMCO KORL KSFB
11/27/2025,CAMRN,SIE.CAMRN5,ZNY,KJFK,SIE-CAMRN,,,SIE CAMRN,SIE CAMRN KJFK
11/27/2025,SILCN,SILCN.SILCN6,ZOA,KSJC/12L|12R,SILCN-HITIR,TROXX.SILCN6,TROXX TRANSITION,TROXX SILCN VLLEY BAXBE APLLE GGUGL GAARY EDMND JESEN HITIR,TROXX SILCN VLLEY BAXBE APLLE GGUGL GAARY EDMND JESEN HITIR KSJC/12L|12R
11/27/2025,SILCN,SILCN.SILCN6,ZOA,KSJC/30L|30R,SILCN-KLIDE,TROXX.SILCN6,TROXX TRANSITION,TROXX SILCN VLLEY GUUYY WLSSN GSTEE KLIDE,TROXX SILCN VLLEY GUUYY WLSSN GSTEE KLIDE KSJC/30L|30R
11/27/2025,SITTH,SITTH.SITTH3,ZTL,KATL/09L|09R|10,SITTH-STUMP,EEWOK.SITTH3,EEWOK TRANSITION,EEWOK LAYUH SITTH TIZZY FRYES SHURT REMAC DACTL STUMP,EEWOK LAYUH SITTH TIZZY FRYES SHURT REMAC DACTL STUMP KATL/09L|09R|10
11/27/2025,SITTH,SITTH.SITTH3,ZTL,KATL/08L|08R,SITTH-SNEVE,EEWOK.SITTH3,EEWOK TRANSITION,EEWOK LAYUH SITTH TIZZY GAASS KLOWD KUNFU TRAPE SNEVE,EEWOK LAYUH SITTH TIZZY GAASS KLOWD KUNFU TRAPE SNEVE KATL/08L|08R
11/27/2025,SITTH,SITTH.SITTH3,ZTL,KATL/09L|09R|10,SITTH-STUMP,HOTHH.SITTH3,HOTHH TRANSITION,HOTHH LLNDO AATAT SITTH TIZZY FRYES SHURT REMAC DACTL STUMP,HOTHH LLNDO AATAT SITTH TIZZY FRYES SHURT REMAC DACTL STUMP KATL/09L|09R|10
