EFF_DATE,DP_NAME,DP_COMPUTER_CODE,ARTCC,ORIG_GROUP,BODY_NAME,TRANSITION_COMPUTER_CODE,TRANSITION_NAME,ROUTE_POINTS,ROUTE_FROM_ORIG_GROUP
11/27/2025,SABTH,SABTH2.SABTH,ZDV,KDEN/16L|16R|17R,BOGEI-SABTH,SABTH2.VRONI,VRONI TRANSITION,BOGEI JSMNN SHOJO SABTH VRONI,KDEN/16L|16R|17R BOGEI JSMNN SHOJO SABTH VRONI
11/27/2025,SABTH,SABTH2.SABTH,ZDV,KDEN/25,BRKEM-SABTH,SABTH2.VRONI,VRONI TRANSITION,BRKEM LENNN TIKLR CIROS ICECI SHOJO SABTH VRONI,KDEN/25 BRKEM LENNN TIKLR CIROS ICECI SHOJO SABTH VRONI
11/27/2025,SABTH,SABTH2.SABTH,ZDV,KDEN/08,KIDNG-SABTH,SABTH2.VRONI,VRONI TRANSITION,KIDNG TWWIN FIGTR PACMN SHOJO SABTH VRONI,KDEN/08 KIDNG TWWIN FIGTR PACMN SHOJO SABTH VRONI
11/27/2025,SABTH,SABTH2.SABTH,ZDV,KDEN/17L,RAYDR-SABTH,SABTH2.VRONI,VRONI TRANSITION,RAYDR JSMNN SHOJO SABTH VRONI,KDEN/17L RAYDR JSMNN SHOJO SABTH VRONI
11/27/2025,SABTH,SABTH2.SABTH,ZDV,KDEN/34L|34R|35L|35R,SHOJO-SABTH,SABTH2.VRONI,VRONI TRANSITION,SHOJO SABTH VRONI,KDEN/34L|34R|35L|35R SHOJO SABTH VRONI
11/27/2025,SACAT,SACAT3.SACAT,ZAB,KFFZ/22L,EHISO-SACAT,,,EHISO SACAT,KFFZ/22L EHISO SACAT
11/27/2025,SACAT,SACAT3.SACAT,ZAB,KFFZ/22R,FEVTI-SACAT,,,FEVTI SACAT,KFFZ/22R FEVTI SACAT
11/27/2025,SACAT,SACAT3.SACAT,ZAB,KFFZ/04L|04R,SACAT,,,SACAT,KFFZ/04L|04R SACAT
11/27/2025,SAFFORD,SAFRD1.SAFRD,ZAB,KSAD/12,XOMZA-SSO,,,XOMZA SSO,KSAD/12 XOMZA SSO
11/27/2025,SAFFORD,SAFRD1.SAFRD,ZAB,KSAD/30,ZULOM-SSO,,,ZULOM SEBOC SSO,KSAD/30 ZULOM SEBOC SSO
11/27/2025,SAHEY,SAHEY4.SAHEY,ZOA,KSFO/10L,ORYAN-SAHEY,SAHEY4.KAYEX,KAYEX TRANSITION,ORYAN SAHEY MAAYS MCOVY KAYEX,KSFO/10L ORYAN SAHEY MAAYS MCOVY KAYEX
11/27/2025,SAHEY,SAHEY4.SAHEY,ZOA,KSFO/19L|19R,SAHEY,SAHEY4.KAYEX,KAYEX TRANSITION,SAHEY MAAYS MCOVY KAYEX,KSFO/19L|19R SAHEY MAAYS MCOVY KAYEX
11/27/2025,SAHEY,SAHEY4.SAHEY,ZOA,KSFO/10R,URRSA-SAHEY,SAHEY4.KAYEX,KAYEX TRANSITION,URRSA SAHEY MAAYS MCOVY KAYEX,KSFO/10R URRSA SAHEY MAAYS MCOVY KAYEX
11/27/2025,SAHEY,SAHEY4.SAHEY,ZOA,KSFO/10L,ORYAN-SAHEY,SAHEY4.KTINA,KTINA TRANSITION,ORYAN SAHEY MAAYS MCOVY KTINA,KSFO/10L ORYAN SAHEY MAAYS MCOVY KTINA
11/27/2025,SAHEY,SAHEY4.SAHEY,ZOA,KSFO/19L|19R,SAHEY,SAHEY4.KTINA,KTINA TRANSITION,SAHEY MAAYS MCOVY KTINA,KSFO/19L|19R SAHEY MAAYS MCOVY KTINA
11/27/2025,SAHEY,SAHEY4.SAHEY,ZOA,KSFO/10R,URRSA-SAHEY,SAHEY4.KTINA,KTINA TRANSITION,URRSA SAHEY MAAYS MCOVY KTINA,KSFO/10R URRSA SAHEY MAAYS MCOVY KTINA
11/27/2025,SAHEY,SAHEY4.SAHEY,ZOA,KSFO/10L,ORYAN-SAHEY,SAHEY4.NTELL,NTELL TRANSITION,ORYAN SAHEY CIITY HOPII NTELL,KSFO/10L ORYAN SAHEY CIITY HOPII NTELL
11/27/2025,SAHEY,SAHEY4.SAHEY,ZOA,KSFO/19L|19R,SAHEY,SAHEY4.NTELL,NTELL TRANSITION,SAHEY CIITY HOPII NTELL,KSFO/19L|19R SAHEY CIITY HOPII NTELL
11/27/2025,SAHEY,SAHEY4.SAHEY,ZOA,KSFO/10R,URRSA-SAHEY,SAHEY4.NTELL,NTELL TRANSITION,URRSA SAHEY CIITY HOPII NTELL,KSFO/10R URRSA SAHEY CIITY HOPII NTELL
11/27/2025,SAHEY,SAHEY4.SAHEY,ZOA,KSFO/10L,ORYAN-SAHEY,SAHEY4.SUSEY,SUSEY TRANSITION,ORYAN SAHEY MAAYS MCOVY SUSEY,KSFO/10L ORYAN SAHEY MAAYS MCOVY SUSEY
11/27/2025,SAHEY,SAHEY4.SAHEY,ZOA,KSFO/19L|19R,SAHEY,SAHEY4.SUSEY,SUSEY TRANSITION,SAHEY MAAYS MCOVY SUSEY,KSFO/19L|19R SAHEY MAAYS MCOVY SUSEY
11/27/2025,SAHEY,SAHEY4.SAHEY,ZOA,KSFO/10R,URRSA-SAHEY,SAHEY4.SUSEY,SUSEY TRANSITION,URRSA SAHEY MAAYS MCOVY SUSEY,KSFO/10R URRSA SAHEY MAAYS MCOVY SUSEY
11/27/2025,SALAD,SALAD5.SALAD,ZOA,KOAK/28L|28R,SALAD,SALAD5.ALTAM,ALTAM TRANSITION,SALAD ALTAM,KOAK/28L|28R SALAD ALTAM
11/27/2025,SAMMI,SAMMI4.SAMMI,ZTL,KAGS/08|17|26|35 KAIK/01|07|19|25 KDNL/05|11|23|29 KHQU/10|28,TRPLE-SAMMI,,,TRPLE BOGII SAMMI,KAGS/08|17|26|35 KAIK/01|07|19|25 KDNL/05|11|23|29 KHQU/10|28 TRPLE BOGII SAMMI
11/27/2025,SARDD,SARDD3.LINDZ,ZDV,KASE/33,LINDZ,,,LINDZ,KASE/33 LINDZ
11/27/2025,SAWGY,SAWGY3.OMN,ZJX,KJAX,CRG-OMN,,,CRG SAWGY OMN,KJAX CRG SAWGY OMN
11/27/2025,SAYBR,SAYBR3.SAYBR,ZHU,3R9/16|34 KAUS/18L|18R|36L|36R KEDC/13|31 KGTU/11|18|29|36 KHYI/08|13|17|26|31|35 KRYW/15|33 T74/17|35,MUNCH-SAYBR,,,MUNCH SAYBR,3R9/16|34 KAUS/18L|18R|36L|36R KEDC/13|31 KGTU/11|18|29|36 KHYI/08|13|17|26|31|35 KRYW/15|33 T74/17|35 MUNCH SAYBR
11/27/2025,SAYOW,SAYOW2.SAYOW,ZLA,KSAN/09,SAYOW,SAYOW2.IPL,IMPERIAL TRANSITION,SAYOW CHRJR JUNOR IPL,KSAN/09 SAYOW CHRJR JUNOR IPL
11/27/2025,SAYOW,SAYOW2.SAYOW,ZLA,KSAN/09,SAYOW,SAYOW2.MTBAL,MTBAL TRANSITION,SAYOW LEGUE JLI NSHEE MTBAL,KSAN/09 SAYOW LEGUE JLI NSHEE MTBAL
11/27/2025,SBOAT,SBOAT1.SBOAT,ZMA,KLAL/10,WEMLA-SBOAT,,,WEMLA RAVME SBOAT,KLAL/10 WEMLA RAVME SBOAT
11/27/2025,SCAMR,SCAMR4.SCAMR,ZLA,KHND/17R,CAVER-SCAMR,SCAMR4.FRNCK,FRNCK TRANSITION,CAVER BOYTT ZIGLR SCAMR RATPK DARDN FRNCK,KHND/17R CAVER BOYTT ZIGLR SCAMR RATPK DARDN FRNCK
11/27/2025,SCAMR,SCAMR4.SCAMR,ZLA,KHND/35L,KITEE-SCAMR,SCAMR4.FRNCK,FRNCK TRANSITION,KITEE JAMIA SCAMR RATPK DARDN FRNCK,KHND/35L KITEE JAMIA SCAMR RATPK DARDN FRNCK
11/27/2025,SCAMR,SCAMR4.SCAMR,ZLA,KHND/17R,CAVER-SCAMR,SCAMR4.HOCEE,HOCEE TRANSITION,CAVER BOYTT ZIGLR SCAMR URSLA NIITZ HOCEE,KHND/17R CAVER BOYTT ZIGLR SCAMR URSLA NIITZ HOCEE
